time,open,high,low,close,volume
2025-10-15 23:39:00+00:00,434.5,434.69,434.5,434.61,0
2025-10-15 23:40:00+00:00,434.62,434.68,434.5,434.5,0
2025-10-15 23:41:00+00:00,434.56,434.69,434.5,434.69,0
2025-10-15 23:42:00+00:00,434.55,434.825,434.55,434.75,0
2025-10-15 23:43:00+00:00,434.86,434.88,434.7,434.7,0
2025-10-15 23:44:00+00:00,434.7,434.88,434.7,434.79,0
2025-10-15 23:45:00+00:00,434.78,434.79,434.6,434.74,0
2025-10-15 23:46:00+00:00,434.68,434.7196,434.6,434.65,0
2025-10-15 23:47:00+00:00,434.6494,434.74,434.58,434.58,0
2025-10-15 23:48:00+00:00,434.66,434.75,434.63,434.65,0
2025-10-15 23:49:00+00:00,434.61,434.67,434.58,434.6,0
2025-10-15 23:50:00+00:00,434.6651,434.67,434.52,434.6,0
2025-10-15 23:51:00+00:00,434.6,434.7,434.5,434.5,0
2025-10-15 23:52:00+00:00,434.58,434.6799,434.58,434.64,0
2025-10-15 23:53:00+00:00,434.6591,434.66,434.52,434.6169,0
2025-10-15 23:54:00+00:00,434.575,434.63,434.5,434.55,0
2025-10-15 23:55:00+00:00,434.52,434.6,434.5,434.55,0
2025-10-15 23:56:00+00:00,434.56,434.6,434.5,434.55,0
2025-10-15 23:57:00+00:00,434.5,434.6,434.5,434.53,0
2025-10-15 23:58:00+00:00,434.55,434.6,434.3399,434.35,0
2025-10-15 23:59:00+00:00,434.3,434.56,434.2801,434.45,0
2025-10-16 08:00:00+00:00,434.65,434.71,434.0,434.44,0
2025-10-16 08:01:00+00:00,434.29,434.5,433.72,434.4,0
2025-10-16 08:02:00+00:00,434.05,434.55,433.82,434.3,0
2025-10-16 08:03:00+00:00,434.32,434.97,434.32,434.71,0
2025-10-16 08:04:00+00:00,434.7,434.99,434.68,434.94,0
2025-10-16 08:05:00+00:00,434.96,434.99,434.57,434.96,0
2025-10-16 08:06:00+00:00,434.94,435.15,434.72,435.15,0
2025-10-16 08:07:00+00:00,435.18,435.3,435.04,435.12,0
2025-10-16 08:08:00+00:00,435.18,435.73,435.18,435.73,0
2025-10-16 08:09:00+00:00,435.76,436.08,435.68,435.76,0
2025-10-16 08:10:00+00:00,435.52,435.7,435.42,435.69,0
2025-10-16 08:11:00+00:00,435.66,435.69,435.51,435.6,0
2025-10-16 08:12:00+00:00,435.66,435.68,435.55,435.56,0
2025-10-16 08:13:00+00:00,435.68,435.68,435.5,435.55,0
2025-10-16 08:14:00+00:00,435.68,435.76,435.4,435.45,0
2025-10-16 08:15:00+00:00,435.44,435.84,435.38,435.83,0
2025-10-16 08:16:00+00:00,435.84,436.07,435.82,436.01,0
2025-10-16 08:17:00+00:00,436.05,436.3,436.05,436.22,0
2025-10-16 08:18:00+00:00,436.23,436.23,435.97,436.08,0
2025-10-16 08:19:00+00:00,436.2,436.24,435.87,435.95,0
2025-10-16 08:20:00+00:00,435.87,435.9,435.66,435.66,0
2025-10-16 08:21:00+00:00,435.8,435.9,435.7,435.86,0
2025-10-16 08:22:00+00:00,435.8,435.87,435.68,435.76,0
2025-10-16 08:23:00+00:00,435.7,435.76,435.66,435.69,0
2025-10-16 08:24:00+00:00,435.6,435.6,435.4,435.5,0
2025-10-16 08:25:00+00:00,435.5,435.78,435.43,435.73,0
2025-10-16 08:26:00+00:00,435.82,435.84,435.66,435.68,0
2025-10-16 08:27:00+00:00,435.62,435.62,435.31,435.4,0
2025-10-16 08:28:00+00:00,435.4,435.75,435.3,435.75,0
2025-10-16 08:29:00+00:00,435.69,435.7,435.35,435.35,0
2025-10-16 08:30:00+00:00,435.4,435.6,435.15,435.57,0
2025-10-16 08:31:00+00:00,435.57,435.57,435.27,435.37,0
2025-10-16 08:32:00+00:00,435.32,435.63,435.32,435.56,0
2025-10-16 08:33:00+00:00,435.58,435.89,435.58,435.74,0
2025-10-16 08:34:00+00:00,435.77,435.77,435.7,435.74,0
2025-10-16 08:35:00+00:00,435.63,435.65,435.46,435.46,0
2025-10-16 08:36:00+00:00,435.41,435.41,435.34,435.34,0
2025-10-16 08:37:00+00:00,435.41,435.6,435.41,435.41,0
2025-10-16 08:38:00+00:00,435.39,435.42,435.32,435.32,0
